node,role,manufacturer,site,status,degree_centrality,betweenness_centrality,closeness_centrality,clustering_coefficient,avg_neighbor_degree,connected_to_endpoint,connected_to_access,connected_to_dist,connected_to_core,human_reviewed,is_confirmed_rogue
HOST-1,Endpoint,Generic Manufacturer,Viettel Lab Site 1,active,0.000966183574879227,0.0,0.04613561225126318,0.0,0.007729468599033816,0,1,0,0,False,False
HOST-2,Endpoint,Generic Manufacturer,Viettel Lab Site 1,active,0.000966183574879227,0.0,0.04613561225126318,0.0,0.007729468599033816,0,1,0,0,False,False
HOST-3,Endpoint,Generic Manufacturer,Viettel Lab Site 1,active,0.000966183574879227,0.0,0.04613561225126318,0.0,0.007729468599033816,0,1,0,0,False,False
HOST-4,Endpoint,Generic Manufacturer,Viettel Lab Site 1,active,0.000966183574879227,0.0,0.04613561225126318,0.0,0.007729468599033816,0,1,0,0,False,False
HOST-5,Endpoint,Generic Manufacturer,Viettel Lab Site 1,active,0.000966183574879227,0.0,0.04613561225126318,0.0,0.007729468599033816,0,1,0,0,False,False
HOST-6,Endpoint,Generic Manufacturer,Viettel Lab Site 1,active,0.000966183574879227,0.0,0.04613561225126318,0.0,0.007729468599033816,0,1,0,0,False,False
HOST-7,Endpoint,Generic Manufacturer,Viettel Lab Site 1,active,0.000966183574879227,0.0,0.04613561225126318,0.0,0.007729468599033816,0,1,0,0,False,False
HOST-8,Endpoint,Generic Manufacturer,Viettel Lab Site 1,active,0.000966183574879227,0.0,0.04613561225126318,0.0,0.007729468599033816,0,1,0,0,False,False
HOST-9,Endpoint,Generic Manufacturer,Viettel Lab Site 1,active,0.001932367149758454,0.0,0.046168731858048005,1.0,0.004830917874396135,1,1,0,0,False,False
HOST-10,Endpoint,Generic Manufacturer,Viettel Lab Site 1,active,0.001932367149758454,0.0,0.046168731858048005,1.0,0.004830917874396135,1,1,0,0,False,False
HOST-11,Endpoint,Generic Manufacturer,Viettel Lab Site 1,active,0.000966183574879227,0.0,0.04613561225126318,0.0,0.007729468599033816,0,1,0,0,False,False
HOST-12,Endpoint,Generic Manufacturer,Viettel Lab Site 1,active,0.000966183574879227,0.0,0.04613561225126318,0.0,0.007729468599033816,0,1,0,0,False,False
HOST-13,Endpoint,Generic Manufacturer,Viettel Lab Site 1,active,0.000966183574879227,0.0,0.04590509884244174,0.0,0.006763285024154589,0,1,0,0,False,False
HOST-14,Endpoint,Generic Manufacturer,Viettel Lab Site 1,active,0.000966183574879227,0.0,0.04590509884244174,0.0,0.006763285024154589,0,1,0,0,False,False
HOST-15,Endpoint,Generic Manufacturer,Viettel Lab Site 1,active,0.000966183574879227,0.0,0.04590509884244174,0.0,0.006763285024154589,0,1,0,0,False,False
HOST-16,Endpoint,Generic Manufacturer,Viettel Lab Site 1,active,0.000966183574879227,0.0,0.04590509884244174,0.0,0.006763285024154589,0,1,0,0,False,False
HOST-17,Endpoint,Generic Manufacturer,Viettel Lab Site 1,active,0.000966183574879227,0.0,0.04590509884244174,0.0,0.006763285024154589,0,1,0,0,False,False
HOST-18,Endpoint,Generic Manufacturer,Viettel Lab Site 1,active,0.000966183574879227,0.0,0.04590509884244174,0.0,0.006763285024154589,0,1,0,0,False,False
HOST-19,Endpoint,Generic Manufacturer,Viettel Lab Site 1,active,0.000966183574879227,0.0,0.04590509884244174,0.0,0.006763285024154589,0,1,0,0,False,False
HOST-20,Endpoint,Generic Manufacturer,Viettel Lab Site 1,active,0.000966183574879227,0.0,0.04590509884244174,0.0,0.006763285024154589,0,1,0,0,False,False
HOST-21,Endpoint,Generic Manufacturer,Viettel Lab Site 1,active,0.000966183574879227,0.0,0.04590509884244174,0.0,0.006763285024154589,0,1,0,0,False,False
HOST-22,Endpoint,Generic Manufacturer,Viettel Lab Site 1,active,0.000966183574879227,0.0,0.04590509884244174,0.0,0.006763285024154589,0,1,0,0,False,False
HOST-23,Endpoint,Generic Manufacturer,Viettel Lab Site 1,active,0.000966183574879227,0.0,0.04590509884244174,0.0,0.006763285024154589,0,1,0,0,False,False
HOST-24,Endpoint,Generic Manufacturer,Viettel Lab Site 1,active,0.000966183574879227,0.0,0.04590509884244174,0.0,0.006763285024154589,0,1,0,0,False,False
HOST-25,Endpoint,Generic Manufacturer,Viettel Lab Site 1,active,0.000966183574879227,0.0,0.04590509884244174,0.0,0.006763285024154589,0,1,0,0,False,False
HOST-26,Endpoint,Generic Manufacturer,Viettel Lab Site 1,active,0.000966183574879227,0.0,0.04590509884244174,0.0,0.006763285024154589,0,1,0,0,False,False
